response,c_Food.pref,c_Food.disp,c_Character,c_Char.now,c_Knowledge,c_Visibility,c_Disposition,c_Situation,c_Closer,Notes
got lost,0,0,0,0,0,0,0,1,0,
wanted to get hot dog but then changed his mind,0,0,0,0,0,0,1,0,0,
went to the closest place to get food,0,0,0,0,0,0,0,1,1,Closest
was craving pizza more than hot dog,0,1,0,0,0,0,0,0,0,
he can just see the hotdog spot from where he stands.,0,0,0,0,0,1,0,0,0,
He so sorty that he travles the whole route.,0,0,1,0,0,0,0,0,0,
He chooses the nearest stand.,0,0,0,0,0,0,0,1,1,Closest
"He does not want to hot dogs this time, so he tries the new food.",0,1,0,0,0,0,0,0,0,
He does not like pizza.,1,0,0,0,0,0,0,0,0,
The hotdog stand is closed.,0,0,0,0,0,0,0,1,0,
He passes the pizza stand until he finds the hot dogs stand.,0,0,0,0,0,0,0,1,0,?
His favourite food is hotdog.,1,0,0,0,0,0,0,0,0,
He is sporty and wanted to do a lap around the town before getting food,0,0,1,1,0,0,0,0,0,
Brooklyn doesn't know the area well,0,0,0,0,1,0,0,0,0,
Harper's favourtie food is hot dogs,1,0,0,0,0,0,0,0,0,
Taylor's knows the area well and is sporty,0,0,1,0,1,0,0,0,0,
Charlie is lazy,0,0,1,0,0,0,0,0,0,
Jesse does not know the area well,0,0,0,0,1,0,0,0,0,
Parker's favourite food is hot dogs,1,0,0,0,0,0,0,0,0,
Adrian doesn't know the area well,0,0,0,0,1,0,0,0,0,
"Beacuse they are sporty, probably wanted to explore and when they saw the hot dog stand they went to it because its their favourite food",1,0,1,0,0,0,1,0,0,
Becasue they know the area well and are sporty they took the longest rout to the pizza stand,0,0,1,0,1,0,0,0,0,
they know the area well and their favourite food is hot dog so they took the longest rout to the hot dog stand,1,0,1,0,0,0,0,0,0,
they know the area and are lazy so they went to the clossest stand which is the hotdog stand,0,0,1,0,1,0,0,0,0,
"thought there would be a better stand not far by but didnt like the idea of the pizza, kept walking the long way because they dont know the area until they arrived at the hot dong stand",0,1,0,0,1,0,0,0,0,
"is sporty so wanted to explore the area, went the way they thought would take longer so ended up at the pizza stand",0,0,1,0,0,0,1,0,0,
"they dont know the area well so they got lost, didnt feel hungry till they reached the pizza stans but didnt want to walk back just to get a hot dog cause they are lazy",0,0,1,0,1,0,1,0,0,
they know the area well so they know the hotdog stand would be alot father and they are lazy to walk so they choose the closer pizza stand,0,0,1,0,1,0,0,0,0,
Charlie chose the nearest location because he's lazy.,0,0,1,0,0,0,0,0,1,
Jesse wanted to explore the area.,0,0,0,0,0,0,1,0,0,
Brooklyn wanted to explore the area.,0,0,0,0,0,0,1,0,0,
Taylor enjoys physical activity.,0,0,1,0,0,0,0,0,0,
Taylor didn't want to eat pizza.,0,1,0,0,0,0,0,0,0,
Drew enjoys physical activity.,0,0,1,0,0,0,0,0,0,
Harper decided that pizza truck is a better option of the two.,1,0,0,0,0,0,0,0,0,
Parker took the shortest path because he's lazy.,0,0,1,0,0,0,0,0,0,
They get a hot dog because it is their favourite food and they are aware of the hotdog stand.,1,0,0,0,1,0,0,0,0,
They have seen the pizza stand and thought there may be similar stands nearby that could sell hot dogs,0,1,0,0,0,1,0,0,0,
he took a walk and found a food truck nearby,0,0,0,1,0,0,0,1,1,
Drew wanted to walk a bit longer as he is sporty,0,0,1,0,0,0,0,0,0,
he went to the closest truck nearby,0,0,0,0,0,0,0,1,1,Closest
they wanted pizza today instead of a hot dog,0,1,0,0,0,0,0,0,0,
he didnt want to walk and get a hot dog so he went to the nearest food truck,0,1,0,1,0,0,0,0,0,
he wanted a hotdog and didnt know where you could get one,0,1,0,0,1,0,0,0,0,
changed his mind and wanted pizza instead,0,1,0,0,0,0,1,0,0,
he was hungry and wanted hot dogs,0,1,0,0,0,0,1,0,0,
wandering around a new area and decided to get pizza,0,0,0,0,0,0,0,1,0,
wanted pizza and changed mind,0,1,0,0,0,0,1,0,0,
walked till he reached the first food place he found,0,0,0,0,0,0,0,1,1,?
decided to walk further to see other food options and deciede to get hot dogs,0,0,0,0,0,0,1,1,0,?
decided to get pizza instead,0,0,0,0,0,0,1,0,0,
saw the hotdog stand and walked towards it,0,0,0,0,0,1,0,0,0,
He had cravings for the hotdog instead of the pizza,0,1,0,0,0,0,0,0,0,
"Because he was lazy and still chose to walk further, shows that he dislikes hotdogs",1,0,1,0,0,0,0,0,0,
likes hotdogs,1,0,0,0,0,0,0,0,0,
Tyler chose the long route because he is sporty,0,0,1,0,0,0,0,0,0,
he likes hotdogs,1,0,0,0,0,0,0,0,0,
quickest route and they like hotdogs,1,0,0,0,0,0,0,1,1,? Quickest
he chose the wrong route because he doesn't know the area well,0,0,0,0,1,0,0,0,0,
"the hotdog stand was nearest to him, and he chose that because he is lazy",0,0,1,0,0,0,0,0,0,
When walking past the pizza stand there wasnt anything they liked on the menu.,1,0,0,0,0,0,0,0,0,
Due his laziness he went to the closest food option.,0,0,1,0,0,0,0,0,1,
As theyre sporty they might of wanted to explore the area.,0,0,1,0,0,0,1,0,0,
The hot dog stand was the only thing they could see.,0,0,0,0,0,1,0,0,0,
