"","P","Pu","K","Ku","C","Cu","S","Su","br","PKu","PCu","PSu","KCu","KSu","CSu","PK","PC","PS","KC","KS","CS","sem","prior","condition","u_set","posterior","node","ces","node3"
"94",0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,FALSE,0.000111918900353319,"c00000",9,0.000198856726572229,"Cu",-0.000852102007973423,"Cu=0"
"95",0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,FALSE,0.000461688890603958,"c00000",1,0.000820325621413632,"Cu",-0.00325140960088146,"Cu=0"
"96",0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,FALSE,0.000170959657230905,"c00000",9,0.000303759934251711,"Cu",-0.00623052870767574,"Cu=0"
"97",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,FALSE,5.69582108567674e-05,"c00000",5,0.000101202954341319,"Cu",0.000239331929007753,"Cu=0"
"98",0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,FALSE,2.10911642076125e-05,"c00000",13,3.74746344065451e-05,"Cu",-0.00201734089451237,"Cu=0"
"99",0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,FALSE,8.7005467117867e-05,"c00000",5,0.000154590711044577,"Cu",-0.00471659159047024,"Cu=0"
"100",0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,FALSE,3.22174198651983e-05,"c00000",13,5.72436883562216e-05,"Cu",-0.00104421605232753,"Cu=0"
"101",0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,FALSE,0.000114712732401977,"c00000",5,0.000203820787995587,"Cu",0.0078801315839017,"Cu=0"
"102",0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,FALSE,4.24771958142809e-05,"c00000",13,7.54731871643605e-05,"Cu",-0.00177305380297133,"Cu=0"
"103",0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,FALSE,0.00017522732397791,"c00000",5,0.000311342694953714,"Cu",0.000358331563829458,"Cu=0"
"104",0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,FALSE,6.48852590010649e-05,"c00000",13,0.000115287678551251,"Cu",-0.00150166053874869,"Cu=0"
"105",0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,FALSE,7.08641215841418e-05,"c00000",5,0.000125910880156543,"Cu",-0.004942022931624,"Cu=0"
"106",0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,FALSE,2.62404103337768e-05,"c00000",13,4.66237792402701e-05,"Cu",-0.00292553091969114,"Cu=0"
"107",0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,FALSE,0.000108247185218477,"c00000",5,0.000192332848564892,"Cu",-0.00076370961953784,"Cu=0"
"108",0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,FALSE,4.00830560530765e-05,"c00000",13,7.12192962275613e-05,"Cu",-0.00643887452155053,"Cu=0"
"109",0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,FALSE,0.000142718967009424,"c00000",5,0.000253582071568507,"Cu",-0.00271656913400571,"Cu=0"
"110",0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,FALSE,5.28476776826104e-05,"c00000",13,9.38993874826475e-05,"Cu",-0.00813054742878165,"Cu=0"
"111",0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,FALSE,0.000218007732413861,"c00000",5,0.000387354628203055,"Cu",-0.00407449419262461,"Cu=0"
"112",0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,FALSE,8.07264977903303e-05,"c00000",13,0.000143434281855408,"Cu",0.00918969511295061,"Cu=0"
"113",0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,FALSE,0.000198382820646184,"c00000",5,0.000352485220970952,"Cu",-0.00185139092010137,"Cu=0"
"114",0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,FALSE,7.34595518939284e-05,"c00000",13,0.00013052242274516,"Cu",0.00200423487764813,"Cu=0"
"115",0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,FALSE,0.000303036027972963,"c00000",5,0.000538432314523421,"Cu",-0.00427049749054623,"Cu=0"
"116",0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,FALSE,0.000112211787039323,"c00000",13,0.000199377125606274,"Cu",0.00429586951030884,"Cu=0"
"117",0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,FALSE,0.000399539154682405,"c00000",5,0.000709898401313431,"Cu",-0.00804331262958132,"Cu=0"
"118",0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,FALSE,0.000147946113335056,"c00000",13,0.000262869628936813,"Cu",-0.00102064587401204,"Cu=0"
"119",0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,FALSE,0.000610308685299764,"c00000",5,0.00108439224272375,"Cu",-0.00870231018700138,"Cu=0"
"120",0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,FALSE,0.000225992363618284,"c00000",13,0.00040154166559518,"Cu",-0.00350407370527387,"Cu=0"
"121",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,FALSE,0.000246816466160223,"c00000",5,0.000438541786684841,"Cu",-0.000609943989054699,"Cu=0"
"122",0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,FALSE,9.1394138590809e-05,"c00000",13,0.000162388472105086,"Cu",-0.0106882863091091,"Cu=0"
"123",0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,FALSE,0.000377019952130397,"c00000",5,0.000669886438272582,"Cu",-0.000456928136708251,"Cu=0"
