"","P","Pu","K","Ku","C","Cu","S","Su","br","sem","prior","uprior","condition","posterior"
"194",1,0,0,0,0,0,1,1,0,TRUE,8.09268318291524e-12,1.29482930926644e-10,"c10011",2.14179568705826e-10
"195",0,1,0,0,0,0,1,1,0,TRUE,1.71758058027165e-12,2.74812892843464e-11,"c00011",5.27852896490056e-11
"196",1,1,0,0,0,0,1,1,0,TRUE,1.71758058027165e-12,2.74812892843464e-11,"c10011",4.54571938114061e-11
"197",0,0,1,0,0,0,1,1,0,TRUE,8.09268318291524e-12,1.29482930926644e-10,"c01011",2.48677880567741e-10
"198",1,0,1,0,0,0,1,1,0,TRUE,8.09268318291524e-12,1.29482930926644e-10,"c11011",2.14161642274948e-10
"199",0,1,1,0,0,0,1,1,0,TRUE,1.71758058027165e-12,2.74812892843464e-11,"c01011",5.27790707670335e-11
"200",1,1,1,0,0,0,1,1,0,TRUE,1.71758058027165e-12,2.74812892843464e-11,"c11011",4.54533891289721e-11
"201",0,0,0,1,0,0,1,1,0,TRUE,1.03573013170063e-15,1.657168210721e-14,"c00011",3.18304221810504e-14
"202",1,0,0,1,0,0,1,1,0,TRUE,1.03573013170063e-15,1.657168210721e-14,"c10011",2.74114564835044e-14
"203",0,1,0,1,0,0,1,1,0,TRUE,2.19822019520893e-16,3.51715231233429e-15,"c00011",6.75564751075872e-15
"204",1,1,0,1,0,0,1,1,0,TRUE,2.19822019520893e-16,3.51715231233429e-15,"c10011",5.81777196374421e-15
"205",0,0,1,1,0,0,1,1,0,TRUE,1.03573013170063e-15,1.657168210721e-14,"c01011",3.1826672090069e-14
"206",1,0,1,1,0,0,1,1,0,TRUE,1.03573013170063e-15,1.657168210721e-14,"c11011",2.7409162195665e-14
"207",0,1,1,1,0,0,1,1,0,TRUE,2.19822019520893e-16,3.51715231233429e-15,"c01011",6.75485159631372e-15
"208",1,1,1,1,0,0,1,1,0,TRUE,2.19822019520893e-16,3.51715231233429e-15,"c11011",5.81728502706951e-15
"209",0,0,0,0,1,0,1,1,0,TRUE,8.09268318291524e-12,1.29482930926644e-10,"c00111",2.48707181924621e-10
"210",1,0,0,0,1,0,1,1,0,TRUE,8.09268318291524e-12,1.29482930926644e-10,"c10111",2.14179568705826e-10
"211",0,1,0,0,1,0,1,1,0,TRUE,1.71758058027165e-12,2.74812892843464e-11,"c00111",5.27852896490056e-11
"212",1,1,0,0,1,0,1,1,0,TRUE,1.71758058027165e-12,2.74812892843464e-11,"c10111",4.54571938114061e-11
"213",0,0,1,0,1,0,1,1,0,TRUE,8.09268318291524e-12,1.29482930926644e-10,"c01111",2.48677880567741e-10
"214",1,0,1,0,1,0,1,1,0,TRUE,8.09268318291524e-12,1.29482930926644e-10,"c11111",2.14161642274948e-10
"215",0,1,1,0,1,0,1,1,0,TRUE,1.71758058027165e-12,2.74812892843464e-11,"c01111",5.27790707670335e-11
"216",1,1,1,0,1,0,1,1,0,TRUE,1.71758058027165e-12,2.74812892843464e-11,"c11111",4.54533891289721e-11
"217",0,0,0,1,1,0,1,1,0,TRUE,1.03573013170063e-15,1.657168210721e-14,"c00111",3.18304221810504e-14
"218",1,0,0,1,1,0,1,1,0,TRUE,1.03573013170063e-15,1.657168210721e-14,"c10111",2.74114564835044e-14
"219",0,1,0,1,1,0,1,1,0,TRUE,2.19822019520893e-16,3.51715231233429e-15,"c00111",6.75564751075872e-15
"220",1,1,0,1,1,0,1,1,0,TRUE,2.19822019520893e-16,3.51715231233429e-15,"c10111",5.81777196374421e-15
